1579081684.6514673;[68.98429870605469, 0]
1579081684.652186;[62.96569061279297, 0]
1579081684.652207;[57.22133255004883, 0]
1579081684.6522245;[51.762550354003906, 0]
1579081684.6522403;[46.60700988769531, 0]
1579081684.7928672;[41.777896881103516, 0]
1579081684.8047588;[37.28657531738281, 0]
1579081684.8047912;[33.13806915283203, 0]
1579081684.8048139;[29.311986923217773, 0]
1579081684.8048358;[25.78819465637207, 0]
1579081684.8048592;[22.529279708862305, 0]
1579081684.8049533;[19.516618728637695, 0]
1579081684.8049777;[16.742952346801758, 0]
1579081684.8049953;[14.217361450195312, 0]
1579081684.8050127;[11.961930274963379, 0]
1579081684.8050332;[9.987432479858398, 0]
1579081684.9216611;[8.29261589050293, 0]
1579081684.9315774;[6.842949867248535, 0]
1579081684.931611;[5.585498332977295, 0]
1579081684.9316368;[4.455449104309082, 0]
1579081684.931658;[3.4039950370788574, 0]
1579081684.9316773;[2.417201042175293, 0]
1579081684.9316957;[1.5259407758712769, 0]
1579081684.9317148;[0.7838841676712036, 0]
1579081684.9317331;[0.23865771293640137, 0]
1579081684.9317515;[-0.0945788025856018, 0]
1579081684.9317713;[-0.27330026030540466, 0]
1579081685.0150595;[0.39187490940093994, 0]
1579081685.0150928;[0.39187490940093994, 0]
1579081685.0151198;[0.39187490940093994, 0]
1579081685.0151708;[0.38931363821029663, 0]
1579081685.065365;[0.38931363821029663, 0]
1579081685.0653996;[0.3867523670196533, 0]
1579081685.0981696;[-0.4102618098258972, 0]
1579081685.1161373;[-0.6366080045700073, 0]
1579081685.116172;[-1.0388152599334717, 0]
1579081685.1161962;[-1.618473768234253, 0]
1579081685.1162174;[-2.2759666442871094, 0]
1579081685.1162374;[-2.839083194732666, 0]
1579081685.1162574;[-3.1614608764648438, 0]
1579081685.1162767;[-3.183422088623047, 0]
1579081685.1162956;[-3.0000829696655273, 0]
1579081685.1163135;[-2.8320705890655518, 0]
1579081685.1163309;[-2.9333043098449707, 0]
1579081685.8163996;[-3.478478193283081, 0]
1579081685.8164287;[-4.448726177215576, 0]
1579081685.8164468;[-5.6240644454956055, 0]
1579081685.816464;[-6.661491394042969, 0]
1579081685.8164804;[-7.254139423370361, 0]
1579081685.8164952;[-7.2892045974731445, 0]
1579081685.8165112;[-6.929958820343018, 0]
1579081685.816526;[-6.580825328826904, 0]
1579081685.817239;[-6.681346893310547, 0]
1579081685.8172603;[-7.53352165222168, 0]
1579081685.8172765;[-9.101630210876465, 0]
1579081685.8174112;[-11.019219398498535, 0]
1579081685.8174677;[-12.720489501953125, 0]
1579081685.8175094;[-13.774089813232422, 0]
1579081685.8175337;[-13.996858596801758, 0]
1579081685.8175514;[-13.594058990478516, 0]
1579081685.817587;[-13.058834075927734, 0]
1579081685.8176067;[-12.910345077514648, 0]
1579081685.8176224;[-13.525465965270996, 0]
1579081685.817639;[-15.106738090515137, 0]
1579081685.817655;[-17.676862716674805, 0]
